entname,passpercent,bidnum,is_infob,is_infoa_1,is_infoa_2,compete
0006990cefcbcc06df65c077916f255d,0.940380313,1,0,1,0,竞争力一般
0021fd05a19fe0abb2a0e2af3a052b9a,0.940380313,4,0,1,0,竞争力一般
00445eba150a52d64aa1d2e57c9866ef,0.940380313,6,0,1,0,竞争力一般
00467f05f6f45eca78eb62eb4320202d,0.940380313,1,0,1,0,竞争力一般
0049e1e3bc94370a676346608eaa49a6,1,0,0,1,0,竞争力一般
0057a8147431b3ee76fcd582fb2f8258,0.940380313,1,0,1,0,竞争力一般
0062d7d8b27beb7a2c062dbc9c90c9de,0.940380313,3,0,1,0,竞争力一般
009644071bdda664eac9e9f7e693e7ed,0.940380313,4,0,1,0,竞争力一般
00a3712497ab8cbf049931415a8492a1,0.940380313,1,0,1,0,竞争力一般
00b7fdb599ff0ab7161aa1f807889332,0.940380313,1,0,1,0,竞争力一般
00c899cce728761e1eeec13cbb475a41,0.940380313,1,0,1,0,竞争力一般
00cbc820f2a41714fd5c7dc7a3582f39,0.666666667,0,0,1,0,竞争力一般
00d051ed8cc06f9800e5f3c98f09f58a,0.940380313,1,0,1,0,竞争力一般
00f629649e16cf83ece543090cc31dba,1,0,0,1,0,竞争力一般
00fde1e467646e039744e0e7470c88da,1,0,0,1,0,竞争力一般
010c29902662a613f00c7220b2469adb,0.940380313,0,1,1,0,竞争力强
01248de64856b9c7354ec08b7586d0c9,0.940380313,6,0,1,0,竞争力一般
013f0b4b13c5ed3f91ffbc94f688f169,0.940380313,5,0,1,0,竞争力一般
0160b693e288a6d304c8a7281e762565,1,0,0,1,0,竞争力一般
0162f18039088e992c2e37148b07f8a8,0.940380313,1,0,1,0,竞争力一般
0180300e654cfc5369d2370344437e26,1,0,0,1,0,竞争力一般
01832ee4872fe422af2001e8c8705209,0.940380313,1,0,1,0,竞争力一般
018935be601e4d821a6f863611684f55,0.940380313,12,0,1,0,竞争力一般
01a044cd455a8910b517516b56ca2597,0.940380313,1,0,1,0,竞争力一般
01a5e2e61ac7eeb505b18d5e37181beb,1,0,0,1,0,竞争力一般
01adac5e4fedf93c9c1dd18b5c80fa47,0.940380313,8,0,1,0,竞争力一般
01b4aaa8b7c2b308e27a51158de11569,0.940380313,1,0,1,0,竞争力一般
01e03cf03313aa8343277b70045e9d2f,1,0,1,1,0,竞争力强
01f28acdaa74e707adf64c6f7e0d5e1d,0.940380313,5,0,1,0,竞争力一般
02061065cf5850b91453eb3eb461bce0,0.940380313,3,0,1,0,竞争力一般
02063e86705310d221c6dd8b3873126a,1,0,0,1,0,竞争力一般
0206d7a95d77653504d6f663e1f3a488,0.940380313,2,0,1,0,竞争力一般
021a51be06c945842eecd79f65d1a48c,0.940380313,1,0,1,0,竞争力一般
0232dc5175fddca83dcabe723e873ec5,0.940380313,2,0,1,0,竞争力一般
025a69d243abc23e170be26714e7068b,0.940380313,6,0,1,0,竞争力一般
02697e23e6f21eac52d13c3582c9abcf,1,0,0,1,0,竞争力一般
026a260bcf1e7492ee257ff56e5362d1,0.940380313,30,0,1,0,竞争力一般
026d888872589614dbfb55117da353c8,0.940380313,1,0,1,0,竞争力一般
0279b07b043c5e9b1345d2f876a0b7d3,0.940380313,1,0,1,0,竞争力一般
027a47c35e92afe3a284f521d6bb6117,0.940380313,2,0,1,0,竞争力一般
029e01c7f8a3f86533114e9ea192e03e,1,0,0,1,0,竞争力一般
029f9924f4f1126dff9d5380b367fb9c,0.940380313,8,0,1,0,竞争力一般
02a22f191a591e5e0217c7409adf65c8,0.940380313,7,0,1,0,竞争力一般
02acbde0bfd478c0d7a86f21d331c37e,1,0,0,1,0,竞争力一般
02ba89885a637235d94c675f4fe9a1f9,0.940380313,1,0,1,0,竞争力一般
02dac78f708c3350d657df556a473de8,0.940380313,6,0,1,0,竞争力一般
03353316952a06da97825c5e31802884,0.940380313,1,0,1,0,竞争力一般
03383bec3a8b6fd2e8e5a0da5f0ebb0e,0.940380313,1,0,1,0,竞争力一般
033eeda86344362efce73e41c537d005,0.940380313,1,0,1,0,竞争力一般
034acee80b852403f9c83215b8052e30,1,0,0,1,0,竞争力一般
0363941f691b0ada9075010069acd489,0.940380313,2,0,1,0,竞争力一般
036faa448c160ee7735eccd00c4c370e,0.940380313,1,0,1,0,竞争力一般
0380837ff10cad3eac713a50a237e5a0,0.940380313,3,0,1,0,竞争力一般
038b10cc6da6e75b444c918cec44ed53,0.940380313,4,0,1,0,竞争力一般
0398130b73fd900d6a4829577ccea25c,0.940380313,2,0,1,0,竞争力一般
03c56379baee13b7156e535613429e1e,0.940380313,1,0,1,0,竞争力一般
03c93acc40135ca5fac074a078a85986,0.940380313,20,0,1,0,竞争力一般
03d2700df667fd83a0ad3ca8171fdc4d,0.940380313,1,0,1,0,竞争力一般
03ffbe96ac8ec227c77913148b59f969,0,0,0,1,0,竞争力弱
0412c6f3f242bda4864a64bae668b55f,0.940380313,3,0,1,0,竞争力一般
041cdea5315c2c3e65cae1a2724d2e66,0.940380313,1,0,1,0,竞争力一般
041e4165c88fe0f0b037ca2aa715cea8,0.940380313,1,0,1,0,竞争力一般
0436ed5b6b01cec79e3962a2fb7a9bdf,1,0,0,1,0,竞争力一般
0440eae38b6d57c01f38cc50040e0256,1,0,0,1,0,竞争力一般
0480a2b81d530039d5c95ee2c487b19d,0.940380313,1,0,1,0,竞争力一般
04bf0a44f58e5558d3ec8f289ac0958b,0.940380313,7,0,1,0,竞争力一般
04d3cfb4193a7048e5ca159a7ecb7b92,0.940380313,12,0,1,0,竞争力一般
04da5ba1774e345d2ad2914437da93c7,0.940380313,1,0,1,0,竞争力一般
0508ceda45e4adf45249d6c0ef741eab,0.940380313,2,0,1,0,竞争力一般
0508d6052c1d7727f085f1bea4bdcb44,0.940380313,4,0,1,0,竞争力一般
05498fc9dbb696adbad03865daeecdf9,0.940380313,1,0,1,0,竞争力一般
05fb3aa632598974fd4eb4e6d5eda627,0.940380313,3,0,1,0,竞争力一般
0600e9b9b52d33aca0aab37ec578ac04,0.940380313,1,0,1,0,竞争力一般
0609a307c8fa1baf7a930241e86cf534,0.940380313,1,0,1,0,竞争力一般
0618e70d9193caa131354a032d929e37,1,0,0,1,0,竞争力一般
0663e92ed709810af5f5dabb24d57abd,1,0,0,1,0,竞争力一般
0667176faa0f9a27ca7e29876cc866bd,0.940380313,11,0,1,0,竞争力一般
06766fdd31ddc204df6b7bbc30fd8b62,0.940380313,1,0,1,0,竞争力一般
0690f8893833d2dd3859c6595be3ba54,0.940380313,1,0,1,0,竞争力一般
069189640ce8203f97c4b72af9d9e6c2,0.940380313,2,0,1,0,竞争力一般
06998d4e2debf6ac71fcacd503188404,0.940380313,7,0,1,0,竞争力一般
069cfb2c3777ed39d4a2cc1b24c1f34e,0.940380313,0,1,1,0,竞争力强
06fd5a7d1887c4c95d9e87e3d392c31c,0.940380313,3,0,1,0,竞争力一般
072e4b64bc0c851cd3dd8a26cc233fd4,0.940380313,2,0,1,0,竞争力一般
074e9defee0984a3fcc4a3e557cd52fd,0.940380313,1,0,1,0,竞争力一般
075e29ae21127cc2558aee42b04ffc0f,0.940380313,2,0,1,0,竞争力一般
078cfd63951bdc9c40c562de1b8abcb4,0.940380313,1,0,1,0,竞争力一般
07b178aa0390c22567ea4f2621f8c190,0.940380313,1,0,1,0,竞争力一般
07b2998f94d4258580372c8a5cdf6fc2,0.940380313,1,0,1,0,竞争力一般
07e47df724c95cb5939f9e661b1169a2,0.940380313,1,0,1,0,竞争力一般
07e94946ffcdf1ef6ae23d2967effb7e,1,0,0,1,0,竞争力一般
0809dfb1da7aac97372c0bd96d6a4c6f,0.940380313,10,0,1,0,竞争力一般
088e4be43e933b01cebf6885245e8f17,1,0,0,1,0,竞争力一般
08a3fa5deb6ac482e55bf88db767903f,0.940380313,2,0,1,0,竞争力一般
08b46e8da459fc13527a93f0c8b45d4b,0.940380313,5,0,1,0,竞争力一般
08d34ae476fb9776b4c05615aa0c80c3,0.940380313,1,0,1,0,竞争力一般
08e78c42c0b979d19815862aa6b58c7e,1,0,0,1,0,竞争力一般
09355a96aa02dd04da3f0b49ff9bffb4,0.940380313,6,0,1,0,竞争力一般
094df0a29a06a0f053196e9eed50bffa,0.940380313,3,0,1,0,竞争力一般
098104185a419a4451845dedfd97a563,0.940380313,7,0,1,0,竞争力一般
0981752f4f808b1cf6a21b0dd9854060,1,0,0,1,0,竞争力一般
0999792d8852f4c59fe1929d778769ff,1,0,0,1,0,竞争力一般
09b5cd1c04f63e031f6a20f542e13673,0.940380313,1,0,1,0,竞争力一般
09bdd0098f5a2e3e3eb4d9942319331e,0.940380313,1,0,1,0,竞争力一般
09d18564875885e6822994998b636d8e,0.940380313,46,0,1,0,竞争力一般
09dfdef5f7eeca9d251cdb6e3e72f0e9,0.940380313,1,0,1,0,竞争力一般
09ff45379e8df86b2b706683daec5dfe,0.940380313,1,0,1,0,竞争力一般
0a17e9f37fdb36637c4eadc7ee223dac,0.940380313,1,0,1,0,竞争力一般
0a6b78857e65a45c39736e28b195b5ab,0.940380313,6,0,1,0,竞争力一般
0a701c6ef3c2f31a0dc659e3696c27fd,1,0,0,1,0,竞争力一般
0aa1c74bb4752e1fdec6ba0083e20a01,1,0,0,1,0,竞争力一般
0b64286dae3267fc3d4f2e50a46dd611,0.940380313,6,0,1,0,竞争力一般
0bb42dc71d2b6c32a330c62a3998935a,0.940380313,7,0,1,0,竞争力一般
0be1d951273b3499e34789970f2afa87,0.940380313,1,0,1,0,竞争力一般
0be58066d464e0f707af96e00ec64c9f,0.940380313,1,0,1,0,竞争力一般
0c02e2d1239498e181bd8d8b31f969e9,0.940380313,5,0,1,0,竞争力一般
0c0e9a5f5982678bb86376b486505eef,1,0,0,1,0,竞争力一般
0c17608fd8ac01e4eb99dac369c1a596,0.940380313,1,0,1,0,竞争力一般
0c4350eeac8f02454127dee204dd33c0,0.940380313,1,0,1,0,竞争力一般
0c5b4aa39ce6d98cbd0f641197b163cb,0.940380313,1,0,1,0,竞争力一般
0ca6272d2e585bce30c27652b55a300a,0.940380313,2,0,1,0,竞争力一般
0cb13f9d7943567d27cce7efbceab179,0.940380313,2,0,1,0,竞争力一般
0cd1ee74c6d5c42fda4d06df384c7d65,1,0,0,1,0,竞争力一般
0cff30e865354fa8bf2994c18de40d5e,1,0,0,1,0,竞争力一般
0d3b553338085c7d4cc04d29e78b1f75,0.940380313,2,0,1,0,竞争力一般
0d3d6d919e97af560764befccb06c9e1,0.940380313,29,0,1,0,竞争力一般
0d63475fc31b06ec8aea923804a70ed2,0.940380313,5,0,1,0,竞争力一般
0d74e6e94b38bb2dfebe4af4baf51bf1,0.940380313,1,0,1,0,竞争力一般
0d7ededcfee20177f8b3e949d4a47f6d,0.940380313,1,0,1,0,竞争力一般
0db98d4fdbf80a056045efefc21f23d1,1,0,0,1,0,竞争力一般
0df4a906a98594bd12199f5d4632cb36,0.940380313,1,0,1,0,竞争力一般
0df8403b3db6c4cbe44621678f43cd0f,1,0,0,1,0,竞争力一般
0dfe423f96700f35d56bf7526d608b1e,0.940380313,1,0,1,0,竞争力一般
0e06391e2bfe94341568d5937663a1aa,0.940380313,1,0,1,0,竞争力一般
0e3feab9d88783647269132cba3a9f11,0.940380313,6,0,1,0,竞争力一般
0e5f58eee39bf0fbca984fe16f549649,0.940380313,1,0,1,0,竞争力一般
0e950ea73f02a2ea339ab4d20548ac83,0.940380313,29,0,1,0,竞争力一般
0ea0003bca031cfecfd544edfac4d5c6,1,0,0,1,0,竞争力一般
0eb61e9c7ae6fd3c555533ae5d24699a,1,0,0,1,0,竞争力一般
0ed81ac79936b8a30421e3a50c3b23fa,0.940380313,7,0,1,0,竞争力一般
0f17e581802e7be6b8ca3d4c1395b378,0.940380313,1,0,1,0,竞争力一般
0f7c715cb9fc816ebfb9866127f8954f,0.940380313,2,0,1,0,竞争力一般
0f7fa44257457e4c372db5cad337f0f9,0.940380313,1,0,1,0,竞争力一般
0f8a6a88f4b06e8dadf49588c048053c,0.940380313,10,0,1,0,竞争力一般
0fa902f6ba6d6e1764c94855899ce285,0.940380313,20,0,1,0,竞争力一般
0fbf8b3f941b2868d1d310af2b677be7,0.940380313,5,0,1,0,竞争力一般
0fc6d4e89e5b67db2e303c70e83ee0f6,1,0,0,1,0,竞争力一般
10014b95592582ba16c4655df2d7800d,0.940380313,2,0,1,0,竞争力一般
102782ce0eaa091a519b49120b43ddda,0.940380313,5,0,1,0,竞争力一般
1051825677c32b7423cd3fc549ce8256,0.940380313,6,0,1,0,竞争力一般
107757a144c4571413321096bcbfef7f,0.940380313,1,0,1,0,竞争力一般
108e6d5ef074c92bfec745705aa10c94,0.940380313,0,1,1,0,竞争力强
109d4432ff3f0ae7f96e20ec10f99df6,1,0,0,1,0,竞争力一般
109fdc9dae68b3213e35e937b6e31e00,0.940380313,3,0,1,0,竞争力一般
10c8302bfdb6ac023354abaf2fe73443,1,0,0,1,0,竞争力一般
1119c2c929a2d2d83593f040b5b49430,0.940380313,2,0,1,0,竞争力一般
1124dd87f372080e1e796519470f203f,0.940380313,1,0,1,0,竞争力一般
116bf89ffde61903de99bc565a36b7aa,0.940380313,1,0,1,0,竞争力一般
116f7bef910f7b129667388bf42f53cb,1,0,0,1,0,竞争力一般
11d2c68dd0d21ddbf355586e46588191,1,0,0,1,0,竞争力一般
11f9dd680ad8946ce124caad2fcf80a8,0.940380313,1,0,1,0,竞争力一般
123f4752d353a5e5aa7ebe76dcea6ad6,1,0,0,1,0,竞争力一般
125f788bcb74b1960e3fa85caba32f2d,0.940380313,8,0,1,0,竞争力一般
1293c7e56fdef90061f6f7739e3fc131,0.940380313,8,0,1,0,竞争力一般
12d16e7a0cb73b955f5c73db1a984d18,0.940380313,1,0,1,0,竞争力一般
12d92a720b8a1fdcf95b58f7c24de753,1,0,0,1,0,竞争力一般
12edf1828fac0f9b3d4467c22c8056b7,0.940380313,3,0,1,0,竞争力一般
130c60dfa7fbf3125bc9e7751a8be944,0.940380313,2,0,1,0,竞争力一般
139f8c1f5891bb7046ee220f40841e8f,0.940380313,1,0,1,0,竞争力一般
13c8e2ec8ea0653a137c9bdc75b5c39c,0.940380313,4,0,1,0,竞争力一般
13efbfd764273ebd19a6bda01de0bb6a,0.940380313,1,0,1,0,竞争力一般
143b33f776d9d26f26ccb0a5d188ca57,0.940380313,1,0,1,0,竞争力一般
144294526d30bf66cb0fbe1650bec119,0.75,0,1,1,0,竞争力强
14482ca5016d3a9446573123b937a5c6,0.940380313,27,0,1,0,竞争力一般
145cf2b91aab43aa5ebb457308ece4e9,0.940380313,2,0,1,0,竞争力一般
14647669ae3db6504c012c659ba28e23,0.940380313,2,0,1,0,竞争力一般
14a5c0511b2908a06bc166906ae7a857,1,0,0,1,0,竞争力一般
14ac26d7298f5fbe856f4f7cf8f1b59e,0.940380313,1,0,1,0,竞争力一般
14e258e7a7dcf63c152d8734b5f69a78,0.940380313,2,0,1,0,竞争力一般
14ec799521c6d401025d2000d779ab39,1,0,0,1,0,竞争力一般
1500f6f9aeaf18da7e79f9d64a689ce9,1,0,0,1,0,竞争力一般
152ab0e9da2dd096a7c8f0204903c353,0.940380313,2,0,1,0,竞争力一般
152bb0a9d5e9140d5e18e0e4d8338418,0.940380313,2,0,1,0,竞争力一般
1539a5c5e45ee6ed3ec0aaf5f30f467c,0.940380313,19,0,1,0,竞争力一般
154c6c9625a9ea42d39174ec472156ef,0.940380313,3,0,1,0,竞争力一般
155c17ca822a0d00681aea581c1c60f1,0.940380313,1,0,1,0,竞争力一般
15741065735ead2260d29cfd2f09c176,1,0,0,1,0,竞争力一般
158e0bbb5ecb6fc2c39a9f2c7d215503,0.940380313,13,0,1,0,竞争力一般
15c14dd7951570b6954c11053c3af0c2,0.940380313,1,0,1,0,竞争力一般
15e4ee5719cbaa3bba6f772de3e1cd11,0.940380313,1,0,1,0,竞争力一般
161236e945282233526004780d0015fd,0.940380313,1,0,1,0,竞争力一般
1617441ccecffb18626efc20918d3f88,0.940380313,27,0,1,0,竞争力一般
162997759b92e568115cdfa8ef0aa184,1,0,0,1,0,竞争力一般
165d1aeda70e6b45055d589538651586,0.940380313,1,0,1,0,竞争力一般
