entname,is_justice_creditaic,is_justice_credit,nega_is_kcont,labels,tag
035cbd8cc5c94836312cfdee97007ff2,0,6,0,0,企业诚信度较低
09ce2fef1db32be880112905225db7f5,0,7,0,0,企业诚信度较低
0bebbf3d6b11d848b02b95af435a1a8f,0,7,0,0,企业诚信度较低
10e50b4bb7730993517c19fd52dc6750,0,14,0,5,企业诚信度低
13efbfd764273ebd19a6bda01de0bb6a,0,6,0,0,企业诚信度较低
150ac0eb3f7a70d8d61c9f85c2bf57ad,0,8,0,0,企业诚信度较低
16fb4bf14d759662291bee36bb539174,0,10,0,0,企业诚信度较低
1b24cc1e7956b8fc78774fd7f09c2e3c,0,13,0,5,企业诚信度低
1cb69b1c9e1102bbe05da35c14585e18,0,7,0,0,企业诚信度较低
27ce1ec589fafd54b8b2a71ac5a3e7f1,0,6,0,0,企业诚信度较低
2cbcacb0cdf2db39279a077ab8299646,0,10,0,0,企业诚信度较低
36630416b0f98f27b2b3aceaeb35cae4,0,10,0,0,企业诚信度较低
3adab8c20ed7cac613973e6a1814ec7a,0,8,0,0,企业诚信度较低
3cf456baf5ca90389baed4315a55cb56,0,15,0,5,企业诚信度低
4ec6c78b695d136d44bbce78d29353fc,0,14,0,5,企业诚信度低
583b1ed4c402ec6e2b932c83dc146de8,0,9,0,0,企业诚信度较低
689cdbf065cda32c81af9b680aac98a3,0,7,0,0,企业诚信度较低
79a666dfa58a2e8617a0f3500855b9ad,0,8,0,0,企业诚信度较低
9608463798c60de7b5da0be086b496eb,0,9,0,0,企业诚信度较低
a6a7f3fe3ac355d92015e9775bbc3410,0,13,0,5,企业诚信度低
b39437fa3bf586c9342d507cec966d26,0,10,0,0,企业诚信度较低
b3f071298ba9e5c8944efd6324ab80df,0,6,0,0,企业诚信度较低
b4f915bc0d95fbbfa2a27b27d6ba319c,0,10,0,0,企业诚信度较低
b7ca42813ea12d6893c35b404c222794,0,12,0,5,企业诚信度低
c7e7a659aeb4bbd4d5170d81aa4f646c,0,9,0,0,企业诚信度较低
c9c712b7f1eef179e9876c724df69408,0,8,0,0,企业诚信度较低
d4d0675c3b5bf103ffdcd3c30decb406,0,6,0,0,企业诚信度较低
e3108e2ea1e99d32ae695bc372488586,0,8,0,0,企业诚信度较低
ea3a5b1d1e7483418df2c52c1cc32b22,0,6,0,0,企业诚信度较低
f092ad415d1e2b849d3b96af55b18670,0,7,0,0,企业诚信度较低
f0ab39ccb86af5166e1fafd11487b39a,0,7,0,0,企业诚信度较低
f1fd015dee80a417f0414a065e193519,0,12,0,5,企业诚信度低
fa0d098dd7c0ce3b6d41249bac28dc69,0,6,0,0,企业诚信度较低
c02264b76491c624e47dd599577f52dc,0,24,0,4,企业诚信度低
ddd58fb407c574d1403350583cf39fb1,0,20,0,5,企业诚信度低
000069a1b35f8435f49d5b7ce6c9bf41,0,0,-2,2,企业诚信度极高
0968c2ca6587601dde8ec350f3e7b18b,0,0,-2,2,企业诚信度极高
12f9b186a5fe2724062083b7afdb961a,0,0,-2,2,企业诚信度极高
1904f6fecf58ab091332486f78af40ce,0,0,-2,2,企业诚信度极高
209dd989bf4058f99d164dacc58627dd,0,0,-2,2,企业诚信度极高
2400a0688e0afb0aded317c4cb318c60,0,0,-2,2,企业诚信度极高
2db1d711555729a1cde3620d55753a30,0,0,-2,2,企业诚信度极高
31ce5fa94489adb3bffbec064cac9109,0,0,-2,2,企业诚信度极高
33b3cd291a93e68162da12f2b553a97b,0,0,-2,2,企业诚信度极高
33bf48fef5312244039c544c355ba49a,0,0,-2,2,企业诚信度极高
393bc1a3842192ed2cd0a932d7cc86de,0,0,-2,2,企业诚信度极高
3a57fb4952e8020029c5aa6ea9890cb7,0,0,-2,2,企业诚信度极高
3b4f736b24ab3bc82c1954c0e05d1c22,0,0,-2,2,企业诚信度极高
4361238c640841e49bf0c2c2b21b0deb,0,0,-2,2,企业诚信度极高
467619b526c1bae39ed6de6b13ed8584,0,0,-2,2,企业诚信度极高
46ea5627b6dc8a8af7fc9d5f7e08d767,0,0,-2,2,企业诚信度极高
492c5c31d52923cd9a699a354c1305a1,0,0,-2,2,企业诚信度极高
