entname,idom_num,sum,shopnum,label
00111c15d04f52d472cf677bbeaf394d,0,6,0,网络招聘活跃
0021f20790566cc700c8d38606a2dbf8,0,8,0,网络招聘活跃
0021fd05a19fe0abb2a0e2af3a052b9a,0,13,0,网络招聘活跃
0024b4942fc748cfbe55120a20ddf600,0,0,2,网络销售活跃
0025c4abcd29b2f0afef3ae12abdee64,0,1,0,网络招聘活跃
0025ebdb5ff890a369bf3b3e3db7815f,0,6,0,网络招聘活跃
002807713359e15ecd0d613d002a73fa,2,0,0,网络域名活跃
002d4db84338fa25e7f2b56debb5ffa0,0,12,0,网络招聘活跃
0031343d9d706da484a825c1897a4617,0,27,0,网络招聘活跃
003aefbba2bfa7e6ebaa2492e5e19417,0,3,3,网络销售活跃
00424524a80f14e7c7fb47caea1ee9f4,1,0,0,网络影响一般
00445eba150a52d64aa1d2e57c9866ef,0,18,0,网络招聘活跃
0049a48bfe03e23235ef45969f32c619,1,34,0,网络影响一般
0049e1e3bc94370a676346608eaa49a6,0,0,2,网络影响一般
004ec239b020de791bcb70f65a7a02da,2,0,1,网络域名活跃
004f1c6101e4c22219e7c945789c6dc8,1,0,0,网络影响一般
0057cd8415ddf9da844a46a9331def81,1,0,0,网络影响一般
005d01a2cca1f1b8c69e77b1b100af2b,0,0,1,网络销售活跃
005ee039037681560a9a241582432e5d,1,0,0,网络影响一般
005f80a998cdd8b2fa8145cdf0135d21,1,0,0,网络影响一般
0066b3b9ee56ccb61c16de3b2ac0dbed,1,0,0,网络影响一般
0081987f0d533d2897aebe65e3cdb79c,0,0,1,网络销售活跃
008515ca2c3bface5929d21fafb8da0c,1,15,0,网络影响一般
008d30fc931727e09bf6586b7c0b11e4,0,0,1,网络销售活跃
009183a94581bc610ff76ba84dd9000e,0,2,0,网络招聘活跃
009644071bdda664eac9e9f7e693e7ed,0,9,0,网络招聘活跃
00a30e21728e25498e2a9d895a607bb8,2,0,0,网络域名活跃
00b3bf1312098ee4e4c018bbec055fc7,1,0,0,网络影响一般
00b53cff8ff129ccc6064ef2d25b7fe6,1,0,0,网络影响一般
00b751dc3b694755c35e109fa69d5b61,1,0,1,网络销售活跃
00c9da03cc40c7da37047698c34fb2f2,5,0,0,网络域名活跃
00d051ed8cc06f9800e5f3c98f09f58a,0,4,0,网络招聘活跃
00e0b18f6c3d3b902e4e8a6fbce741e4,0,0,2,网络销售活跃
00e1b0c91d75ea9652140123ee4f5544,0,3,0,网络招聘活跃
00e5967105303df5f8ed4058bbc4a789,1,0,0,网络影响一般
00e7c668e3ee662fc10699019f5ac7ad,2,0,0,网络域名活跃
00e9ee5a14d065285db70da3623bb0e1,1,0,0,网络影响一般
00e9f3db45f762d72c047b1508fc376c,0,0,1,网络销售活跃
00f953130cb3ec3b5c56de6ed6c9281f,0,8,0,网络招聘活跃
010043e5e6dc7f5d1119e368bb668f9d,0,1,0,网络招聘活跃
0103005ace732965282c0d7caf116ea8,0,0,1,网络销售活跃
0109bc49f49a3dbd77b6bc3d88a3053d,0,1,0,网络招聘活跃
010b17b25e97c223fba1eb0c3b1252fc,1,0,0,网络影响一般
010c29902662a613f00c7220b2469adb,0,0,1,网络销售活跃
010f094cd0ae1865c1b246102375dc89,0,192,0,网络招聘活跃
0110ccab3942462931ccf10a974fed84,0,0,1,网络销售活跃
01148e311e6e5a3c64fe093f4cf7c2c3,0,0,1,网络销售活跃
011d6f707b281cecb23c05ed32103e0c,0,2,0,网络招聘活跃
0123b18df58486ae31e416ecbb24e434,1,0,1,网络销售活跃
0128662ae52b66587d2e80511bfd88ee,0,0,1,网络销售活跃
012cec577b65482c3b8ae65a30d8c70a,2,0,0,网络域名活跃
012d8021a1fda5c2e1881eb28bd53642,0,6,0,网络招聘活跃
012f5b550af8fbfed36da2e0bae61a04,0,2,0,网络招聘活跃
013f0b4b13c5ed3f91ffbc94f688f169,0,0,1,网络销售活跃
0143ac0724f4b2a10b3d10e8bcec0894,0,88,0,网络招聘活跃
0144151da1c1f3ad3e19f6c9da6952b2,0,7,0,网络招聘活跃
0147e7a1db3e595b9d2d39f1ec0fa2e9,0,1,0,网络招聘活跃
014862edf6493255f638363471f6ceca,1,0,0,网络影响一般
014a139bfe09802513331fead046d37a,1,0,0,网络影响一般
015167b609c3c00d443b57d75fb1048a,2,0,0,网络域名活跃
01586f67624e5676f5418ec4b302ec0c,1,0,0,网络影响一般
0159d100568ef8191360f42372aee3b0,0,0,1,网络销售活跃
0159e914a5206059645d645d87ed90ca,1,0,0,网络影响一般
015fd408bcf1b6fd8bdabd7e5fe2e15a,0,2,0,网络招聘活跃
0162f18039088e992c2e37148b07f8a8,0,7,0,网络招聘活跃
01664f0384eb003df1332dc992d09009,1,0,0,网络影响一般
017c6b89126977efea1bda7d77d87061,0,27,0,网络招聘活跃
0180300e654cfc5369d2370344437e26,1,0,0,网络影响一般
018281b303e6110fb7aba93ab3c7ec13,0,5,0,网络招聘活跃
018a61ce4e50a7c94efaa7842a84ceeb,0,21,0,网络招聘活跃
018a7c0173b13de9cc45ce70d44d2206,1,0,0,网络影响一般
0194eec768190ebec7246c8541bff4e2,1,0,0,网络影响一般
0195a7f3a9f792e37daa21b88bc87de7,0,11,0,网络招聘活跃
019a6e2c11effc745f0bec43573f20d5,1,0,1,网络销售活跃
01adac5e4fedf93c9c1dd18b5c80fa47,0,8,0,网络招聘活跃
01bb8351b0445c0016bf0dd1cc42c0e7,0,0,1,网络销售活跃
01c4223d20f6070044e9d2ade26a35ff,0,0,1,网络销售活跃
01c488f2287142f2233881ba329d1458,3,0,0,网络域名活跃
01c610123bd2057ad2ade24bb3f088b7,1,0,1,网络销售活跃
01c9d5150a32cdec6d62b5dc510ffaf0,0,0,1,网络销售活跃
01d1341e8699e569758adc70b6162153,0,0,3,网络销售活跃
01d53ba2e143485d3acce7f67d61b540,2,0,0,网络域名活跃
01dab99f8f54f22075af1681c2c5592b,0,8,0,网络招聘活跃
01db323b50b4c89e3105a31472d87926,0,23,0,网络招聘活跃
01e03cf03313aa8343277b70045e9d2f,1,0,1,网络销售活跃
01ecb29341e6c31f9bc8d67e10278e48,0,85,0,网络招聘活跃
01efc973e740bfb84feaafafbfa86457,1,0,0,网络影响一般
01f076fda367d7db277608728ead2e36,0,0,2,网络销售活跃
01f41731fef33366579a1994004779e8,1,0,0,网络影响一般
01fc360d349f717152a7d433833f99f6,0,20,0,网络招聘活跃
0201131ac892f6be605bd289abc65eea,0,4,0,网络招聘活跃
0206d7a95d77653504d6f663e1f3a488,0,0,1,网络销售活跃
020d446b44de6765e771ce7d9ecf561c,0,37,0,网络招聘活跃
0212906f4a386d7ea8ea4e17e89b76f8,0,11,0,网络招聘活跃
02142bfbb0ecfc640d7262d6c8c69668,2,0,0,网络域名活跃
0214343cf357912946ca37435e605ffb,0,0,1,网络销售活跃
021bddf453df0ade1526b32444008c9a,1,0,0,网络影响一般
021c94404202771f03b906b644197364,1,0,0,网络影响一般
0225358005a67e1ce634ed8ab6e9d11e,0,0,2,网络销售活跃
0232fe4194def25f724c4539d090804f,0,3,0,网络招聘活跃
02362434564215591c4d58afcf466082,0,1,0,网络招聘活跃
023a08a45291f1bd21a15e8c18233e27,0,0,2,网络销售活跃
024e396533db63a4a177d770da9ec294,0,3,0,网络招聘活跃
0253df85f339727915323ae1d65865f5,0,8,0,网络招聘活跃
0258cf88e13638900389a84d3cbfbf3f,5,0,1,网络域名活跃
0264819b1ca8adc329df267b257ac051,1,0,0,网络影响一般
0264f312f070014ad14cb46519fd6690,1,0,0,网络影响一般
0265d2a39ecdd246c498bea683ff33b3,3,0,0,网络域名活跃
02660c3e24789906272f48952232d2a0,0,1,0,网络招聘活跃
026a260bcf1e7492ee257ff56e5362d1,1,10,0,网络影响一般
026c94db54fe6cabeb9923381eefb8cd,0,1,0,网络招聘活跃
026fd443e81da2cccb55405e71606a53,6,0,0,网络域名活跃
027241463de7a4cde60191fffef79ea0,0,0,1,网络销售活跃
0281b1b52cd5ec87a6d869a84176c932,1,0,0,网络影响一般
0290ba777286d77b7f5ae82e389051fe,1,0,0,网络影响一般
0294ded906573c781e50ff8bf64b53bb,1,0,0,网络影响一般
02a1c76e915953cba5f459a86a595388,1,0,2,网络销售活跃
02a22d3826da7324227821a1cfac982d,0,0,1,网络销售活跃
02a6d2e092c85e2490d9ec57e96acdb2,0,4,3,网络销售活跃
